name,startLine,endLine,classPath,readabilityScore,label,original_method,abstract_method,model_prediction,manula_flag
getAllPresent,66,80,guava/android/guava/src/com/google/common/cache/AbstractCache.java,0.5262389779090881,NONE,"		@Override
		public ImmutableMap<K, V> getAllPresent(Iterable<? extends Object> keys){
		    Map<K, V> result = Maps.newLinkedHashMap();
		    for (Object key : keys) {
		        if (!result.containsKey(key)) {
		            @SuppressWarnings(""unchecked"")
		            K castKey = (K) key;
		            V value = getIfPresent(key);
		            if (value != null) {
		                result.put(castKey, value);
		            }
		        }
		    }
		    return ImmutableMap.copyOf(result);
		}","$indentation$ @ override $newline$ $indentation$ public $whitespace$ immutablemap < k , $whitespace$ v > $whitespace$ getallpresent ( iterable < ? $whitespace$ extends $whitespace$ object > $whitespace$ keys ) { $newline$ $indentation$ map < k , $whitespace$ v > $whitespace$ result $whitespace$ = $whitespace$ maps . newlinkedhashmap ( ) ; $newline$ $indentation$ for $whitespace$ ( object $whitespace$ key $whitespace$ : $whitespace$ keys ) $whitespace$ { $newline$ $indentation$ if $whitespace$ ( ! result . containskey ( key ) ) $whitespace$ { $newline$ $indentation$ @ suppresswarnings ( $string$ ) $newline$ $indentation$ k $whitespace$ castkey $whitespace$ = $whitespace$ ( k ) $whitespace$ key ; $newline$ $indentation$ v $whitespace$ value $whitespace$ = $whitespace$ getifpresent ( key ) ; $newline$ $indentation$ if $whitespace$ ( value $whitespace$ != $whitespace$ null ) $whitespace$ { $newline$ $indentation$ result . put ( castkey , $whitespace$ value ) ; $newline$ $indentation$ } $newline$ $indentation$ } $newline$ $indentation$ } $newline$ $indentation$ return $whitespace$ immutablemap . copyof ( result ) ; $newline$ $indentation$ }","",""
putAll,89,94,guava/android/guava/src/com/google/common/cache/AbstractCache.java,0.7960557341575623,NONE,"		@Override
		public void putAll(Map<? extends K, ? extends V> m){
		    for (Entry<? extends K, ? extends V> entry : m.entrySet()) {
		        put(entry.getKey(), entry.getValue());
		    }
